year,crop_type,soil_type,soil_ph,nitrogen,phosphorus,potassium,temperature,rainfall,humidity,irrigation_level,sunshine_hours,yield_kg_acre,yield_tons_ha
2024,Tomato,Black Soil,8.43,150,117,73,29.0,555,35.5,Medium,12.0,4261.72,10.531
2024,Sunflower,Peaty,6.21,137,51,28,28.7,150,54.6,Low,10.7,408.8,1.01
2025,Banana,Clay Loam,6.4,224,91,198,14.7,1801,91.5,Medium,7.0,9711.01,23.996
2021,Chickpea,Alluvial,6.26,57,81,48,10.6,150,36.8,Medium,10.4,167.51,0.414
2022,Garlic,Saline,5.55,53,62,71,34.9,1126,43.3,Medium,6.3,616.22,1.523
2021,Mustard,Clay Loam,4.87,91,10,53,34.5,335,52.2,High,6.1,154.54,0.382
2024,Coffee,Black Soil,6.26,88,10,162,18.8,1940,82.0,Low,7.4,503.75,1.245
2020,Banana,Loam,6.83,152,78,254,39.5,1635,64.2,Medium,5.4,7125.33,17.607
2025,Sunflower,Red Soil,8.07,109,66,64,28.0,248,89.4,Low,7.4,365.17,0.902
2022,Onion,Clay Loam,5.29,105,44,100,31.6,606,69.7,Medium,11.6,2217.99,5.481
2021,Sugarcane,Saline,4.63,215,95,52,11.5,2696,51.7,Low,10.2,4322.31,10.681
2020,Barley,Silt Loam,6.63,68,90,52,34.0,303,75.2,Low,6.2,287.94,0.712
2020,Coffee,Loam,8.59,190,10,114,26.3,1733,82.4,Low,9.3,264.05,0.652
2021,Mustard,Sandy Loam,6.6,95,45,36,37.5,150,32.2,Low,9.6,215.09,0.531
2021,Apple,Peaty,7.7,92,38,83,25.7,1271,53.7,Low,8.5,2044.2,5.051
2024,Tea,Clay Loam,6.78,67,10,103,26.2,1911,73.0,High,9.9,258.67,0.639
2022,Coffee,Clay Loam,8.24,175,57,121,34.0,1418,61.2,High,9.0,228.02,0.563
2025,Coffee,Silt Loam,6.3,205,26,109,20.6,1501,48.7,Medium,6.4,561.23,1.387
2024,Cotton,Laterite,5.61,67,61,46,36.5,1041,94.3,Low,9.9,286.42,0.708
2026,Cotton,Saline,5.49,105,42,56,28.9,927,44.1,Low,8.1,455.23,1.125
2021,Chickpea,Alluvial,7.49,110,58,20,16.7,521,68.5,Medium,8.6,807.78,1.996
2022,Rice,Silt Loam,5.06,150,58,66,12.6,2103,56.5,High,7.0,665.47,1.644
2023,Apple,Sandy Loam,4.97,66,62,100,27.1,990,86.2,Low,9.9,2154.09,5.323
2022,Banana,Saline,8.23,228,72,276,28.6,2109,78.9,Low,5.3,8328.6,20.58
2025,Tomato,Clay Loam,7.75,130,70,104,12.5,878,37.5,Medium,7.0,3071.81,7.591
2022,Tea,Alluvial,7.77,158,36,100,38.0,1295,36.7,Medium,11.5,205.21,0.507
2021,Sunflower,Sandy Loam,6.54,96,45,87,29.4,150,34.3,Low,10.6,472.29,1.167
2021,Garlic,Alluvial,4.5,86,14,62,34.8,958,49.4,High,10.7,718.41,1.775
2025,Groundnut,Alluvial,5.15,55,66,42,22.6,170,47.8,Low,11.9,474.94,1.174
2026,Wheat,Laterite,7.71,132,52,52,24.1,1202,65.3,Medium,5.3,736.95,1.821
2022,Apple,Black Soil,7.93,58,52,93,39.0,743,30.1,High,8.8,1430.7,3.535
2025,Coffee,Black Soil,5.47,165,15,142,23.0,998,94.0,Low,5.2,327.52,0.809
2024,Apple,Sandy Loam,7.76,86,63,121,14.4,856,31.2,High,7.9,3457.28,8.543
2021,Watermelon,Loam,5.9,79,70,93,12.4,469,55.8,Medium,5.1,3941.59,9.74
2026,Apple,Clay Loam,7.38,122,45,122,28.5,263,90.8,Medium,11.6,1269.01,3.136
2023,Watermelon,Peaty,6.88,157,81,85,14.9,491,58.5,High,9.8,7271.92,17.969
2022,Tea,Alluvial,8.7,177,10,56,33.7,1791,66.1,Medium,9.8,207.14,0.512
2022,Sugarcane,Saline,7.3,241,54,83,36.0,1215,77.3,Low,9.9,9231.83,22.812
2020,Coffee,Black Soil,6.71,118,29,121,21.9,2128,81.5,Medium,9.2,767.4,1.896
2025,Banana,Alluvial,6.04,176,10,237,33.3,1917,56.3,Medium,8.8,12368.55,30.563
2024,Rice,Peaty,4.8,190,27,46,22.2,1939,73.1,Low,4.8,885.02,2.187
2023,Sunflower,Silt Loam,5.61,44,89,28,39.1,721,59.5,Low,5.9,230.78,0.57
2023,Barley,Loam,7.03,98,12,10,28.2,676,80.8,Low,9.6,679.56,1.679
2024,Garlic,Sandy Loam,4.65,46,60,64,30.6,236,55.8,High,7.8,371.35,0.918
2023,Groundnut,Clay Loam,6.79,47,31,57,15.7,347,45.2,High,11.7,554.28,1.37
2026,Garlic,Clay Loam,8.71,86,44,76,35.9,369,80.0,Low,4.9,596.61,1.474
2020,Onion,Red Soil,4.96,104,75,73,33.5,1214,87.1,Low,7.2,1451.79,3.587
2022,Onion,Black Soil,7.97,125,65,112,13.6,558,65.4,Medium,4.0,3496.77,8.641
2023,Tomato,Red Soil,6.86,109,116,176,23.3,664,40.9,High,9.1,11739.87,29.01
2024,Rice,Silt Loam,8.21,52,107,15,27.4,824,64.7,High,8.9,762.82,1.885
2022,Apple,Red Soil,4.53,120,58,107,17.3,733,36.6,High,7.9,3932.46,9.717
2022,Mustard,Red Soil,8.5,165,64,36,22.0,232,93.5,Medium,10.6,446.31,1.103
2024,Coffee,Laterite,5.29,152,63,103,15.6,1549,35.7,High,10.5,581.24,1.436
2021,Coffee,Saline,4.98,239,50,134,15.2,2006,53.5,Low,11.2,450.26,1.113
2022,Sugarcane,Black Soil,8.16,272,105,104,33.0,1714,39.9,Medium,5.9,13597.74,33.601
2026,Coffee,Clay Loam,6.8,130,16,102,29.1,1374,46.7,Low,9.1,330.67,0.817
2025,Apple,Alluvial,6.42,45,66,87,28.1,1038,80.2,Medium,6.1,2118.68,5.235
2020,Sugarcane,Loam,5.89,197,49,90,12.0,1530,82.0,High,5.9,7324.04,18.098
2023,Apple,Alluvial,5.89,103,70,69,39.8,1043,77.5,Medium,7.7,3372.73,8.334
2023,Potato,Sandy Loam,8.64,175,92,101,22.7,150,83.4,Medium,4.0,1118.06,2.763
2024,Banana,Saline,7.67,182,41,269,30.1,1617,81.2,Medium,10.9,12246.63,30.262
2024,Mustard,Sandy Loam,4.66,42,17,12,38.1,316,66.0,Medium,6.4,107.52,0.266
2025,Cotton,Clay Loam,8.45,34,61,44,35.5,778,54.7,High,11.0,383.39,0.947
2026,Onion,Sandy Loam,5.81,93,31,93,20.4,335,93.4,High,9.1,4046.63,9.999
2025,Wheat,Black Soil,5.1,126,67,37,34.8,320,61.1,High,8.0,363.02,0.897
2023,Garlic,Black Soil,7.84,98,20,78,10.0,389,31.1,Low,8.8,1182.22,2.921
2021,Sugarcane,Alluvial,5.41,165,120,87,28.6,1590,41.1,Medium,4.6,11632.45,28.744
2023,Onion,Alluvial,7.16,55,65,61,15.2,404,72.6,High,10.8,5590.24,13.814
2023,Maize,Peaty,6.57,173,54,30,38.9,601,57.2,High,10.3,808.92,1.999
2026,Chickpea,Peaty,7.16,57,37,10,11.9,629,32.8,Medium,7.0,326.93,0.808
2021,Watermelon,Peaty,5.05,64,60,113,29.6,654,85.9,Low,7.1,5555.97,13.729
2020,Chickpea,Loam,7.33,18,40,27,33.4,503,83.6,Low,8.0,363.51,0.898
2024,Sunflower,Loam,5.15,14,62,83,30.4,472,34.6,High,4.1,246.66,0.61
2021,Sugarcane,Black Soil,6.49,182,35,121,12.1,1865,57.6,Low,4.7,7343.8,18.147
2020,Potato,Saline,6.14,131,66,103,28.5,774,64.5,Low,4.3,2933.2,7.248
2023,Apple,Laterite,5.76,101,46,138,34.4,977,72.7,Low,5.0,2326.58,5.749
2025,Barley,Silt Loam,6.39,82,59,38,17.2,422,87.7,High,9.2,1766.61,4.365
2026,Maize,Laterite,8.28,160,23,28,39.4,1011,78.6,Medium,8.5,430.96,1.065
2024,Tea,Clay Loam,7.45,112,10,69,20.3,2317,78.3,Medium,8.9,402.33,0.994
2025,Banana,Peaty,8.26,245,76,246,10.3,1271,46.0,Low,9.8,4721.61,11.667
2024,Groundnut,Silt Loam,7.65,15,20,56,20.7,697,30.3,Medium,10.1,807.85,1.996
2025,Coffee,Loam,7.72,177,68,135,24.1,1766,62.6,Medium,5.0,407.27,1.006
2022,Chickpea,Saline,5.09,10,40,19,21.6,793,63.2,Medium,9.8,273.73,0.676
2023,Sugarcane,Laterite,6.91,277,103,74,34.8,2089,62.4,High,4.6,16420.76,40.577
2023,Soybean,Red Soil,6.72,24,31,45,19.8,404,44.3,High,8.8,629.78,1.556
2024,Garlic,Silt Loam,5.25,87,101,73,39.7,219,78.6,Medium,9.9,746.12,1.844
2025,Maize,Loam,7.02,151,75,64,33.5,595,60.0,Medium,7.8,1161.45,2.87
2021,Chickpea,Red Soil,4.85,24,94,71,33.0,290,40.3,Medium,8.9,177.69,0.439
2023,Cotton,Red Soil,4.69,89,77,27,39.2,375,84.9,Medium,6.1,83.71,0.207
2023,Barley,Black Soil,7.16,21,64,61,12.6,245,45.4,High,9.9,541.27,1.338
2021,Mustard,Peaty,8.06,84,53,61,24.8,150,52.0,Low,6.5,250.24,0.618
2020,Coffee,Silt Loam,4.59,128,80,126,26.4,1393,93.7,Low,5.8,268.45,0.663
2020,Tomato,Sandy Loam,7.14,80,103,109,22.9,791,44.0,Low,4.8,6206.01,15.335
2026,Mustard,Alluvial,6.85,80,21,25,11.6,881,81.1,Low,5.6,551.32,1.362
2026,Cotton,Black Soil,5.38,92,45,57,23.5,1059,65.0,Medium,8.0,461.81,1.141
2020,Soybean,Peaty,6.21,35,38,36,12.8,520,53.2,High,10.1,379.34,0.937
2021,Barley,Saline,6.42,50,14,40,28.4,776,41.0,Medium,8.1,431.06,1.065
2023,Wheat,Peaty,8.03,155,44,48,19.6,410,94.2,Low,7.9,686.5,1.696
2021,Rice,Black Soil,6.34,118,79,114,31.6,1118,85.8,Medium,10.6,1934.12,4.779
2023,Apple,Sandy Loam,5.85,146,37,46,24.8,587,83.8,High,6.7,2229.52,5.509
2023,Wheat,Red Soil,8.39,90,40,55,28.4,1280,78.0,High,10.4,435.22,1.075
2023,Garlic,Alluvial,7.68,78,28,71,39.8,197,34.7,Low,4.6,485.75,1.2
2026,Garlic,Sandy Loam,4.79,76,32,96,32.8,480,82.5,High,4.5,706.04,1.745
2020,Garlic,Clay Loam,8.26,35,10,45,13.9,150,56.8,High,10.4,567.38,1.402
2021,Potato,Saline,8.65,129,84,92,39.2,739,84.6,Medium,11.9,1741.14,4.302
2023,Onion,Silt Loam,8.07,123,40,88,26.2,423,36.3,High,5.9,2825.77,6.983
2020,Onion,Red Soil,5.79,89,73,122,36.8,907,32.3,High,8.7,2438.29,6.025
2026,Onion,Clay Loam,7.33,71,32,123,25.8,620,32.1,Low,10.9,5303.31,13.105
2025,Banana,Laterite,7.11,196,90,293,31.1,1726,36.8,Low,7.1,13505.61,33.373
2023,Tea,Alluvial,8.59,191,50,127,12.1,1837,46.5,Medium,6.9,357.08,0.882
2020,Potato,Alluvial,6.44,128,132,97,24.1,150,68.4,Medium,8.3,2595.75,6.414
2022,Sunflower,Loam,8.13,79,15,10,21.9,489,32.9,Medium,6.2,354.72,0.877
2022,Sunflower,Saline,8.28,119,49,41,30.3,577,90.4,Low,5.3,310.06,0.766
2024,Potato,Alluvial,5.61,88,100,127,10.1,696,76.6,Low,10.6,7712.77,19.059
2024,Wheat,Black Soil,5.02,77,98,27,12.1,521,91.2,Medium,9.3,635.04,1.569
2022,Barley,Laterite,7.05,97,63,44,13.6,722,88.7,Medium,4.5,936.53,2.314
2023,Sunflower,Silt Loam,5.77,93,126,27,11.3,655,52.3,Medium,9.8,436.17,1.078
2022,Soybean,Red Soil,6.35,10,82,75,23.4,465,81.9,Medium,10.6,535.57,1.323
2020,Mustard,Laterite,4.62,55,54,10,25.4,557,32.9,High,10.1,277.75,0.686
2024,Garlic,Black Soil,6.72,134,32,38,35.4,622,64.5,High,10.7,2158.65,5.334
2021,Cotton,Loam,6.59,181,55,33,38.9,597,32.0,Low,7.1,295.18,0.729
2025,Chickpea,Alluvial,7.75,10,41,27,36.7,530,69.2,Medium,10.6,360.36,0.89
2024,Tea,Sandy Loam,6.55,155,10,73,17.4,1648,83.7,Low,9.7,372.08,0.919
2026,Sunflower,Red Soil,5.66,92,72,64,14.2,150,58.9,Medium,9.0,176.89,0.437
2025,Sunflower,Alluvial,6.95,79,29,52,21.9,589,65.3,Medium,5.8,920.69,2.275
2026,Rice,Sandy Loam,8.24,150,40,56,18.3,1279,87.0,Low,11.6,600.05,1.483
2026,Mustard,Black Soil,5.8,38,121,10,26.9,1128,89.7,Medium,6.9,249.86,0.617
2025,Sunflower,Alluvial,6.46,163,30,72,24.3,733,94.7,Low,4.5,996.95,2.464
2024,Soybean,Alluvial,6.69,12,76,54,10.6,1384,77.0,High,9.5,363.48,0.898
2020,Chickpea,Red Soil,5.7,58,62,48,32.2,630,39.3,Medium,10.0,291.88,0.721
2021,Wheat,Black Soil,4.95,161,98,22,18.4,764,71.1,High,8.6,842.26,2.081
2025,Rice,Alluvial,5.79,140,29,66,11.5,1728,34.7,High,7.2,757.16,1.871
2025,Tomato,Alluvial,5.16,133,118,126,26.5,507,79.4,High,5.5,5315.03,13.134
2023,Chickpea,Laterite,7.24,10,95,10,18.7,150,66.6,Medium,5.0,189.79,0.469
2025,Coffee,Peaty,8.29,164,53,140,18.1,1295,42.3,High,10.3,431.95,1.067
2020,Apple,Sandy Loam,4.77,128,18,83,20.8,693,47.6,Medium,10.7,2647.29,6.542
2022,Garlic,Alluvial,8.41,66,54,57,12.7,527,55.2,Low,9.1,2090.16,5.165
2024,Chickpea,Peaty,8.26,10,29,39,38.3,168,47.5,Low,7.8,99.25,0.245
2026,Tomato,Silt Loam,4.98,126,121,135,10.1,549,65.9,High,7.3,2736.98,6.763
2025,Rice,Silt Loam,6.53,130,59,74,18.9,1960,38.9,Low,9.2,1695.59,4.19
2025,Coffee,Red Soil,6.99,189,65,132,33.5,1275,74.7,Medium,5.9,187.43,0.463
2025,Soybean,Saline,7.55,10,89,43,31.7,855,87.0,Medium,4.3,306.06,0.756
2023,Mustard,Loam,5.04,60,34,34,18.0,435,52.6,Medium,7.0,602.45,1.489
2026,Mustard,Red Soil,8.28,98,88,39,18.7,803,43.5,Low,5.2,678.31,1.676
2026,Rice,Clay Loam,4.76,159,71,94,39.7,1465,72.3,Low,9.2,628.71,1.554
2021,Barley,Loam,5.34,101,20,44,14.4,994,82.7,High,9.1,644.43,1.592
2026,Groundnut,Loam,8.45,10,43,10,36.7,488,39.6,Low,4.1,145.41,0.359
2025,Watermelon,Silt Loam,6.29,146,50,111,38.9,448,70.4,High,11.4,7277.85,17.984
2025,Onion,Alluvial,6.42,154,61,89,17.3,150,58.4,Medium,8.7,4403.01,10.88
2021,Soybean,Sandy Loam,4.56,58,78,84,21.9,351,91.9,Medium,11.7,413.62,1.022
2026,Cotton,Loam,7.86,98,62,71,35.1,557,65.9,High,10.4,788.68,1.949
2026,Chickpea,Saline,7.63,19,28,29,29.9,279,37.7,Medium,6.3,258.66,0.639
2024,Banana,Loam,6.57,193,41,256,11.0,1670,47.9,Low,9.0,9934.11,24.548
2023,Tea,Black Soil,6.97,179,28,82,16.9,2030,92.2,Low,5.2,349.27,0.863
2022,Cotton,Red Soil,6.34,134,78,33,14.3,1057,85.0,High,7.2,273.92,0.677
2021,Onion,Black Soil,8.32,50,55,58,27.8,289,32.1,High,9.1,1425.91,3.523
2022,Maize,Red Soil,4.91,117,87,78,20.6,822,60.1,Low,4.4,831.92,2.056
2024,Watermelon,Peaty,6.18,168,130,83,20.9,546,77.0,Low,5.6,7368.98,18.209
2022,Garlic,Black Soil,7.35,84,61,71,22.7,178,76.3,Medium,10.5,1489.21,3.68
2022,Onion,Silt Loam,8.8,51,38,86,14.5,1199,54.7,Medium,7.3,2392.1,5.911
2020,Sunflower,Laterite,6.06,28,63,52,13.9,1109,76.1,Medium,5.4,215.17,0.532
2021,Sunflower,Silt Loam,7.5,78,104,45,31.9,774,86.0,High,6.2,648.04,1.601
2023,Tea,Sandy Loam,8.71,158,45,89,31.8,2021,62.3,Medium,7.0,185.38,0.458
2020,Garlic,Black Soil,4.61,36,36,82,26.4,751,92.9,Medium,4.4,929.18,2.296
2025,Soybean,Saline,6.88,41,35,43,36.0,532,48.9,Low,11.0,288.32,0.712
2026,Banana,Silt Loam,5.85,200,62,233,15.6,1526,31.3,Low,7.1,7585.88,18.745
2020,Soybean,Loam,8.28,10,24,64,20.7,613,74.0,Low,4.6,215.93,0.534
2024,Garlic,Peaty,7.87,70,53,76,28.0,781,94.4,Low,6.6,1226.39,3.03
2025,Chickpea,Loam,6.86,15,51,39,15.7,150,63.8,Medium,4.6,218.76,0.541
2020,Maize,Laterite,7.68,178,117,39,27.9,952,41.2,Medium,11.4,1529.62,3.78
2026,Watermelon,Alluvial,6.88,84,104,123,21.2,150,73.7,High,8.7,6061.6,14.979
2023,Cotton,Clay Loam,8.57,102,61,86,30.4,1003,56.5,Low,4.1,490.76,1.213
2021,Cotton,Alluvial,6.22,127,45,55,30.2,741,36.0,Low,10.0,834.72,2.063
2022,Garlic,Black Soil,7.61,90,42,99,17.3,1001,76.4,Low,4.7,2888.44,7.137
2025,Watermelon,Loam,5.66,101,112,92,28.2,296,91.8,Low,10.7,7759.11,19.173
2026,Soybean,Alluvial,6.84,56,29,71,25.6,1010,34.4,High,7.0,1024.52,2.532
2025,Tomato,Loam,8.2,186,114,114,29.1,649,64.8,Low,5.2,4346.38,10.74
2026,Garlic,Clay Loam,5.76,76,43,60,11.7,150,61.9,Medium,11.4,1390.47,3.436
2020,Onion,Sandy Loam,5.62,86,43,73,12.1,839,87.3,Medium,10.5,3306.86,8.171
2023,Watermelon,Alluvial,5.74,72,49,173,20.7,935,53.0,High,10.6,6483.47,16.021
2021,Sugarcane,Black Soil,6.11,255,57,70,19.6,1633,63.9,Medium,10.4,12771.79,31.56
2025,Sunflower,Peaty,6.39,51,68,15,30.8,787,44.9,High,4.9,604.11,1.493
2020,Apple,Sandy Loam,5.98,132,79,85,36.4,909,67.8,Medium,4.9,2112.64,5.22
2026,Chickpea,Peaty,6.18,10,32,32,26.7,605,57.0,High,7.4,372.19,0.92
2024,Garlic,Laterite,6.65,103,70,53,28.9,195,69.4,Low,4.9,643.81,1.591
2020,Tomato,Saline,5.39,190,84,120,22.6,150,31.2,Medium,10.3,3194.12,7.893
2021,Garlic,Red Soil,5.59,63,76,63,34.6,531,51.7,High,10.3,1488.84,3.679
2021,Onion,Alluvial,6.24,88,49,123,10.5,274,48.3,High,5.7,2084.7,5.151
2023,Garlic,Silt Loam,6.85,69,44,68,25.4,287,77.4,High,8.9,2316.39,5.724
2021,Cotton,Black Soil,6.0,103,71,52,21.2,856,71.1,High,4.8,389.12,0.962
2023,Sugarcane,Peaty,5.1,283,106,128,32.3,1644,87.9,Medium,10.0,16018.03,39.581
2022,Sunflower,Peaty,6.36,108,70,79,19.2,689,57.0,High,9.7,1244.36,3.075
2025,Potato,Clay Loam,8.4,68,40,110,12.3,232,83.4,Medium,9.3,2056.25,5.081
2026,Sunflower,Sandy Loam,7.24,61,78,72,23.9,640,48.1,Low,9.2,1182.46,2.922
2024,Soybean,Saline,7.72,58,49,37,23.9,503,87.8,Medium,10.6,527.65,1.304
2020,Onion,Clay Loam,8.36,88,68,88,17.5,760,67.5,Medium,4.5,3676.0,9.084
2022,Chickpea,Alluvial,5.54,10,47,17,13.9,436,80.9,Low,8.5,232.75,0.575
2025,Mustard,Red Soil,4.56,101,73,39,26.9,781,70.6,High,10.9,456.74,1.129
2024,Banana,Clay Loam,6.17,261,72,215,37.8,1627,64.3,Medium,5.7,9958.2,24.607
2023,Banana,Red Soil,8.2,224,58,266,35.0,1702,53.6,Medium,10.9,8890.05,21.968
2025,Barley,Sandy Loam,5.17,95,75,77,15.4,360,73.4,Medium,10.7,753.15,1.861
2020,Onion,Clay Loam,7.12,129,62,55,22.1,1721,40.0,Medium,8.6,6522.84,16.118
2025,Groundnut,Saline,7.52,22,55,63,17.4,891,62.6,High,11.8,545.11,1.347
2026,Mustard,Red Soil,5.04,58,24,51,28.6,962,91.2,High,10.2,238.72,0.59
2021,Coffee,Loam,8.53,119,34,101,12.1,1369,60.5,Low,6.1,145.94,0.361
2024,Chickpea,Black Soil,6.78,10,37,10,10.6,654,83.7,High,6.9,188.78,0.466
2025,Cotton,Red Soil,8.36,74,76,82,14.7,1279,49.7,Medium,6.5,203.94,0.504
2020,Coffee,Peaty,6.48,182,26,117,23.8,1377,77.1,Low,8.6,559.44,1.382
2026,Garlic,Laterite,6.81,113,38,81,15.9,1145,62.0,High,7.9,3296.45,8.146
2022,Banana,Peaty,7.94,213,42,260,37.1,780,87.8,Low,10.5,3930.54,9.713
2020,Onion,Sandy Loam,7.69,102,33,69,35.6,731,61.9,High,7.3,1995.51,4.931
2025,Mustard,Sandy Loam,8.67,41,45,60,21.0,220,35.7,Low,8.5,275.59,0.681
2020,Watermelon,Silt Loam,5.59,126,131,156,27.7,734,69.0,High,4.4,9311.8,23.01
2023,Watermelon,Loam,6.47,84,63,120,11.2,490,48.9,Medium,5.7,4794.27,11.847
2023,Tomato,Red Soil,7.77,153,88,89,22.9,465,83.8,Low,5.4,4517.46,11.163
2022,Mustard,Peaty,7.15,80,62,13,11.0,400,65.8,Low,7.5,514.87,1.272
